   Wave      Z087      Y106      J129      H158      F184      W149    SNPrism   BAO-Grism
     1.775    0.0000    0.0000    0.0000    0.3105    0.6457    0.6457    0.6729    0.4467
     1.780    0.0000    0.0000    0.0000    0.2489    0.6444    0.6444    0.6707    0.4445
     1.785    0.0000    0.0000    0.0000    0.1916    0.6426    0.6426    0.6681    0.4420
     1.790    0.0000    0.0000    0.0000    0.1413    0.6406    0.6406    0.6652    0.4393
     1.795    0.0000    0.0000    0.0000    0.0996    0.6383    0.6383    0.6619    0.4364
     1.800    0.0000    0.0000    0.0000    0.0669    0.6357    0.6357    0.6584    0.4333
     1.805    0.0000    0.0000    0.0000    0.0429    0.6329    0.6329    0.6547    0.4302
     1.810    0.0000    0.0000    0.0000    0.0261    0.6298    0.6298    0.6507    0.4267
     1.815    0.0000    0.0000    0.0000    0.0151    0.6264    0.6264    0.6464    0.4231
     1.820    0.0000    0.0000    0.0000    0.0083    0.6228    0.6228    0.6420    0.4194
